Suburb,Rooms,Type,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Year,target
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,1800000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2017,1400000
Albert Park,2,h,5,3206,1,1,0,200,Port Phillip,Southern Metropolitan,2016,1200000
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,4,h,5,3206,4,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,t,5,3206,3,2,2,800,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,2,1,0,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,5,h,5,3206,5,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,3,h,5,3206,3,2,2,0,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1000000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,2000000
Albert Park,3,h,5,3206,3,1,0,200,Port Phillip,Southern Metropolitan,2017,2000000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,4,h,5,3206,4,3,1,400,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,u,5,3206,2,1,1,0,Port Phillip,Southern Metropolitan,2016,600000
Albert Park,3,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2016,2000000
Albert Park,1,u,5,3206,1,1,0,0,Port Phillip,Southern Metropolitan,2017,400000
Albert Park,4,h,5,3206,4,2,1,400,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2017,1400000
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2017,1800000
Albert Park,3,h,5,3206,3,3,1,0,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,2,400,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,4,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,0,0,Port Phillip,Southern Metropolitan,2016,1000000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,2,2,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,3,1,0,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,1,h,5,3206,1,1,0,0,Port Phillip,Southern Metropolitan,2016,1000000
Alphington,4,h,5,3078,3,2,4,800,Darebin,Northern Metropolitan,2016,2000000
Alphington,3,h,5,3078,3,2,2,200,Yarra,Northern Metropolitan,2016,1200000
Alphington,3,h,5,3078,3,2,2,400,Darebin,Northern Metropolitan,2017,1400000
Alphington,4,h,5,3078,4,2,1,600,Darebin,Northern Metropolitan,2016,1800000
Alphington,5,h,5,3078,5,4,4,800,Darebin,Northern Metropolitan,2016,Over 2M
Alphington,2,u,5,3078,2,1,1,0,Darebin,Northern Metropolitan,2016,600000
Alphington,2,t,5,3078,2,2,3,200,Darebin,Northern Metropolitan,2016,800000
Alphington,2,u,5,3078,2,1,1,0,Darebin,Northern Metropolitan,2016,400000
Alphington,3,h,5,3078,3,3,2,600,Darebin,Northern Metropolitan,2016,2000000
Alphington,3,h,5,3078,3,1,2,600,Darebin,Northern Metropolitan,2016,1600000
Alphington,2,u,5,3078,2,1,1,200,Darebin,Northern Metropolitan,2017,800000
Alphington,4,h,5,3078,4,2,2,600,Darebin,Northern Metropolitan,2016,1800000
Alphington,4,h,5,3078,4,2,2,600,Darebin,Northern Metropolitan,2016,Over 2M
Alphington,3,h,5,3078,3,1,1,200,Darebin,Northern Metropolitan,2016,800000
Alphington,2,u,5,3078,2,1,1,0,Darebin,Northern Metropolitan,2016,400000
Alphington,2,t,5,3078,0,1,0,0,Yarra,Northern Metropolitan,2016,600000
Alphington,2,u,5,3078,2,1,1,0,Darebin,Northern Metropolitan,2017,600000
Alphington,3,h,5,3078,3,1,2,1000,Yarra,Northern Metropolitan,2016,1200000
Alphington,4,h,5,3078,4,2,2,600,Yarra,Northern Metropolitan,2016,2000000
Alphington,3,h,5,3078,3,0,0,600,Darebin,Northern Metropolitan,2016,1400000
Alphington,4,h,5,3078,4,2,3,600,Darebin,Northern Metropolitan,2016,2000000
Altona,3,h,15,3018,3,2,1,400,Hobsons Bay,Western Metropolitan,2016,600000
Altona,5,h,15,3018,5,3,3,800,Hobsons Bay,Western Metropolitan,2016,1600000
Altona,2,t,15,3018,2,1,2,200,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,1,2,600,Hobsons Bay,Western Metropolitan,2017,1200000
Altona,4,h,15,3018,4,1,4,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona,4,h,15,3018,4,3,6,Over 1000,Hobsons Bay,Western Metropolitan,2016,1800000
Altona,3,u,15,3018,2,1,2,400,Hobsons Bay,Western Metropolitan,2016,600000
Altona,2,u,15,3018,2,1,1,0,Hobsons Bay,Western Metropolitan,2016,400000
Altona,3,h,15,3018,3,1,1,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona,3,h,15,3018,3,1,1,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona,2,u,15,3018,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,3,h,15,3018,3,1,4,800,Hobsons Bay,Western Metropolitan,2016,1400000
Altona,3,t,15,3018,3,2,2,200,Hobsons Bay,Western Metropolitan,2016,800000
Altona,2,u,15,3018,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,4,h,15,3018,4,2,2,600,Hobsons Bay,Western Metropolitan,2016,1000000
Altona,2,u,15,3018,2,1,2,200,Hobsons Bay,Western Metropolitan,2016,400000
Altona,3,u,15,3018,3,2,2,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,3,t,15,3018,3,2,2,200,Hobsons Bay,Western Metropolitan,2017,800000
Altona,2,u,15,3018,2,1,1,0,Hobsons Bay,Western Metropolitan,2017,400000
Altona,2,u,15,3018,2,1,1,0,Hobsons Bay,Western Metropolitan,2017,400000
Altona,4,h,15,3018,4,1,2,800,Hobsons Bay,Western Metropolitan,2017,800000
Altona,3,t,15,3018,3,2,2,200,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,u,15,3018,3,2,1,0,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,1,4,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona,2,u,15,3018,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,2,u,15,3018,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,400000
Altona,3,u,15,3018,3,2,1,0,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona,2,u,15,3018,2,2,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,3,h,15,3018,3,1,2,400,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,2,2,600,Hobsons Bay,Western Metropolitan,2017,800000
Altona,3,h,15,3018,3,1,2,800,Hobsons Bay,Western Metropolitan,2016,1000000
Altona,3,t,15,3018,3,2,0,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,3,h,15,3018,3,3,1,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,u,15,3018,3,2,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona,4,h,15,3018,4,1,0,800,Hobsons Bay,Western Metropolitan,2017,1000000
Altona,3,u,15,3018,3,1,2,200,Hobsons Bay,Western Metropolitan,2017,600000
Altona,3,h,15,3018,3,2,2,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona,2,h,15,3018,2,2,1,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,1,1,1000,Hobsons Bay,Western Metropolitan,2016,1600000
Altona,3,u,15,3018,3,2,1,0,Hobsons Bay,Western Metropolitan,2016,800000
Altona,3,h,15,3018,3,1,4,600,Hobsons Bay,Western Metropolitan,2016,1000000
Altona,3,h,15,3018,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona,4,h,15,3018,4,2,3,600,Hobsons Bay,Western Metropolitan,2016,1000000
Altona,2,h,15,3018,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,5,h,10,3025,5,3,6,600,Hobsons Bay,Western Metropolitan,2016,1000000
Altona North,3,h,10,3025,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2017,800000
Altona North,2,t,10,3025,2,1,1,0,Hobsons Bay,Western Metropolitan,2017,400000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2017,1400000
Altona North,3,h,10,3025,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,2,1,0,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,1,1,400,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,4,h,10,3025,3,1,4,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,2,t,10,3025,2,1,1,200,Hobsons Bay,Western Metropolitan,2017,600000
Altona North,4,h,10,3025,4,1,4,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,2,2,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,4,h,10,3025,4,1,4,800,Hobsons Bay,Western Metropolitan,2016,1000000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,1,3,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,1,2,800,Hobsons Bay,Western Metropolitan,2016,1000000
Altona North,4,h,10,3025,4,2,4,400,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,5,2,2,200,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,1,1,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,2,1,600,Hobsons Bay,Western Metropolitan,2016,1000000
Altona North,3,h,10,3025,3,1,4,800,Hobsons Bay,Western Metropolitan,2016,1000000
Altona North,3,h,10,3025,3,1,2,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,2,h,10,3025,2,1,2,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,3,h,10,3025,3,2,3,600,Hobsons Bay,Western Metropolitan,2017,800000
Altona North,4,h,10,3025,4,1,2,800,Hobsons Bay,Western Metropolitan,2017,1000000
Altona North,4,h,10,3025,4,1,3,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,4,t,10,3025,4,3,1,200,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,4,h,10,3025,4,1,4,600,Hobsons Bay,Western Metropolitan,2016,1200000
Altona North,3,h,10,3025,3,1,1,600,Hobsons Bay,Western Metropolitan,2016,800000
Altona North,3,h,10,3025,3,1,1,600,Hobsons Bay,Western Metropolitan,2016,600000
Altona North,2,u,10,3025,2,1,1,200,Hobsons Bay,Western Metropolitan,2016,200000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,2,u,5,3143,2,1,0,800,Stonnington,Southern Metropolitan,2016,600000
Armadale,3,u,5,3143,3,2,2,0,Stonnington,Southern Metropolitan,2016,1000000
Armadale,3,t,5,3143,3,2,2,200,Stonnington,Southern Metropolitan,2016,1200000
Armadale,3,h,5,3143,3,2,2,200,Stonnington,Southern Metropolitan,2016,2000000
Armadale,1,u,5,3143,1,1,0,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,3,h,5,3143,3,1,1,200,Stonnington,Southern Metropolitan,2017,1800000
Armadale,2,u,5,3143,2,1,2,0,Stonnington,Southern Metropolitan,2017,600000
Armadale,3,t,5,3143,3,2,2,0,Stonnington,Southern Metropolitan,2017,2000000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2017,600000
Armadale,3,h,5,3143,3,2,1,200,Stonnington,Southern Metropolitan,2017,Over 2M
Armadale,2,u,5,3143,2,1,2,0,Stonnington,Southern Metropolitan,2016,800000
Armadale,2,u,5,3143,3,2,2,0,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,4,h,5,3143,4,2,2,Over 1000,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,5,h,5,3143,8,2,2,600,Stonnington,Southern Metropolitan,2016,1600000
Armadale,3,u,5,3143,3,2,1,Over 1000,Stonnington,Southern Metropolitan,2016,800000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,800000
Armadale,3,t,5,3143,2,2,2,200,Stonnington,Southern Metropolitan,2016,1600000
Armadale,2,u,5,3143,3,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,1,h,5,3143,2,2,1,200,Stonnington,Southern Metropolitan,2016,1400000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,200000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,2,h,5,3143,2,2,2,0,Stonnington,Southern Metropolitan,2016,1800000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,2,h,5,3143,2,1,0,200,Stonnington,Southern Metropolitan,2016,1200000
Armadale,4,h,5,3143,4,2,2,600,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,1,u,5,3143,1,1,0,800,Stonnington,Southern Metropolitan,2016,400000
Armadale,3,h,5,3143,3,2,2,400,Stonnington,Southern Metropolitan,2016,1800000
Armadale,4,h,5,3143,4,1,2,400,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,6,h,5,3143,5,3,4,Over 1000,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,2,h,5,3143,3,1,2,200,Stonnington,Southern Metropolitan,2016,1200000
Armadale,3,h,5,3143,3,3,1,400,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,3,h,5,3143,3,2,0,400,Stonnington,Southern Metropolitan,2017,Over 2M
Armadale,2,h,5,3143,2,2,0,200,Stonnington,Southern Metropolitan,2017,2000000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2017,400000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,3,h,5,3143,3,2,1,400,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,3,h,5,3143,2,1,2,200,Stonnington,Southern Metropolitan,2016,1400000
Armadale,3,u,5,3143,3,2,2,0,Stonnington,Southern Metropolitan,2016,800000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,800000
Armadale,2,u,5,3143,3,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,3,h,5,3143,3,1,2,400,Stonnington,Southern Metropolitan,2016,2000000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Armadale,2,u,5,3143,2,1,1,Over 1000,Stonnington,Southern Metropolitan,2017,800000
Armadale,2,u,5,3143,2,1,1,Over 1000,Stonnington,Southern Metropolitan,2017,800000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2017,600000
Armadale,3,h,5,3143,3,1,2,200,Stonnington,Southern Metropolitan,2017,1200000
Armadale,4,h,5,3143,4,3,2,400,Stonnington,Southern Metropolitan,2017,Over 2M
Armadale,2,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,4,h,5,3143,4,1,2,800,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,4,h,5,3143,4,3,3,600,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,3,t,5,3143,3,1,2,200,Stonnington,Southern Metropolitan,2016,1200000
Armadale,3,h,5,3143,3,2,2,600,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,4,h,5,3143,4,3,4,600,Stonnington,Southern Metropolitan,2016,2000000
Armadale,3,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,800000
Armadale,5,h,5,3143,5,2,2,600,Stonnington,Southern Metropolitan,2016,Over 2M
Armadale,2,u,5,3143,3,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,1,u,5,3143,1,1,1,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,2,u,5,3143,2,0,0,0,Stonnington,Southern Metropolitan,2016,600000
Armadale,2,u,5,3143,2,1,1,0,Stonnington,Southern Metropolitan,2016,400000
Ascot Vale,2,u,5,3032,3,1,2,0,Moonee Valley,Western Metropolitan,2016,400000
Ascot Vale,3,h,5,3032,3,1,2,200,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,2,u,5,3032,2,1,1,0,Moonee Valley,Western Metropolitan,2016,400000
Ascot Vale,3,h,5,3032,3,2,2,200,Moonee Valley,Western Metropolitan,2017,1400000
Ascot Vale,2,u,5,3032,2,1,1,400,Moonee Valley,Western Metropolitan,2017,400000
Ascot Vale,4,h,5,3032,4,3,1,400,Moonee Valley,Western Metropolitan,2017,1800000
Ascot Vale,3,h,5,3032,3,1,2,600,Moonee Valley,Western Metropolitan,2017,1200000
Ascot Vale,3,h,5,3032,3,2,2,200,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,2,h,5,3032,2,1,1,200,Moonee Valley,Western Metropolitan,2016,800000
Ascot Vale,6,h,5,3032,6,3,2,Over 1000,Moonee Valley,Western Metropolitan,2016,Over 2M
Ascot Vale,2,h,5,3032,2,1,1,200,Moonee Valley,Western Metropolitan,2016,800000
Ascot Vale,2,h,5,3032,2,1,1,200,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,3,h,5,3032,3,1,1,400,Moonee Valley,Western Metropolitan,2016,1400000
Ascot Vale,3,h,5,3032,3,1,2,400,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,2,h,5,3032,2,1,1,400,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,2,h,5,3032,2,1,1,200,Moonee Valley,Western Metropolitan,2016,800000
Ascot Vale,2,h,5,3032,2,1,1,200,Moonee Valley,Western Metropolitan,2016,1000000
Ascot Vale,2,u,5,3032,2,1,2,200,Moonee Valley,Western Metropolitan,2016,600000
Ascot Vale,3,h,5,3032,4,1,2,600,Moonee Valley,Western Metropolitan,2016,1200000
