Suburb,Rooms,Type,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Year,target
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,1800000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2017,1400000
Albert Park,2,h,5,3206,1,1,0,200,Port Phillip,Southern Metropolitan,2016,1200000
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,4,h,5,3206,4,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,t,5,3206,3,2,2,800,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,2,1,0,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,5,h,5,3206,5,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,3,h,5,3206,3,2,2,0,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1000000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1400000
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,2000000
Albert Park,3,h,5,3206,3,1,0,200,Port Phillip,Southern Metropolitan,2017,2000000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,4,h,5,3206,4,3,1,400,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,u,5,3206,2,1,1,0,Port Phillip,Southern Metropolitan,2016,600000
Albert Park,3,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2016,2000000
Albert Park,1,u,5,3206,1,1,0,0,Port Phillip,Southern Metropolitan,2017,400000
Albert Park,4,h,5,3206,4,2,1,400,Port Phillip,Southern Metropolitan,2017,Over 2M
Albert Park,2,h,5,3206,2,1,0,200,Port Phillip,Southern Metropolitan,2017,1400000
Albert Park,3,h,5,3206,3,1,1,200,Port Phillip,Southern Metropolitan,2017,1800000
Albert Park,3,h,5,3206,3,3,1,0,Port Phillip,Southern Metropolitan,2016,1600000
Albert Park,3,h,5,3206,3,2,2,400,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,4,h,5,3206,3,2,1,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,2,h,5,3206,2,1,1,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,2,h,5,3206,2,1,0,0,Port Phillip,Southern Metropolitan,2016,1000000
Albert Park,3,h,5,3206,3,2,0,200,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,3,h,5,3206,3,2,2,200,Port Phillip,Southern Metropolitan,2016,1800000
Albert Park,3,h,5,3206,3,3,1,0,Port Phillip,Southern Metropolitan,2016,Over 2M
Albert Park,1,h,5,3206,1,1,0,0,Port Phillip,Southern Metropolitan,2016,1000000
